brand,brandLabel,brandAlt_en,owner,ownerLabel,industries,isic_codes,country,countryLabel
http://www.wikidata.org/entity/Q123688669,Rona+,Lowe's Canada|RONA+,http://www.wikidata.org/entity/Q3415283,Rona,,,http://www.wikidata.org/entity/Q16,Canada
http://www.wikidata.org/entity/Q123699264,Woolworths Metro New Zealand,Countdown Metro,http://www.wikidata.org/entity/Q607272,Woolworths Group,,,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q123924696,MANN-FILTER,Mann-Filter,http://www.wikidata.org/entity/Q1890550,MANN+HUMMEL,,,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q124032887,1·2·3energie,123energie,http://www.wikidata.org/entity/Q2082280,Pfalzwerke,,,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q124259169,Shell Café,Shell Cafe,http://www.wikidata.org/entity/Q154950,Shell,,,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q124312389,Qiyuan,Changan Qiyuan,http://www.wikidata.org/entity/Q29366,Changan Automobile,,,http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q124630660,SPAR university,Spar university,http://www.wikidata.org/entity/Q610492,SPAR,,,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q124630660,SPAR university,Spar university,http://www.wikidata.org/entity/Q610492,SPAR,,,http://www.wikidata.org/entity/Q55,Netherlands
http://www.wikidata.org/entity/Q124630660,SPAR university,Spar university,http://www.wikidata.org/entity/Q610492,SPAR,,,http://www.wikidata.org/entity/Q40,Austria
http://www.wikidata.org/entity/Q124630660,SPAR university,Spar university,http://www.wikidata.org/entity/Q610492,SPAR,,,http://www.wikidata.org/entity/Q33,Finland
http://www.wikidata.org/entity/Q124630660,SPAR university,Spar university,http://www.wikidata.org/entity/Q610492,SPAR,,,http://www.wikidata.org/entity/Q31,Belgium
http://www.wikidata.org/entity/Q124630664,SPAR city,Spar city,http://www.wikidata.org/entity/Q610492,SPAR,,,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q124630664,SPAR city,Spar city,http://www.wikidata.org/entity/Q610492,SPAR,,,http://www.wikidata.org/entity/Q55,Netherlands
http://www.wikidata.org/entity/Q124630664,SPAR city,Spar city,http://www.wikidata.org/entity/Q610492,SPAR,,,http://www.wikidata.org/entity/Q40,Austria
http://www.wikidata.org/entity/Q124630664,SPAR city,Spar city,http://www.wikidata.org/entity/Q610492,SPAR,,,http://www.wikidata.org/entity/Q33,Finland
http://www.wikidata.org/entity/Q124630664,SPAR city,Spar city,http://www.wikidata.org/entity/Q610492,SPAR,,,http://www.wikidata.org/entity/Q31,Belgium
http://www.wikidata.org/entity/Q124630677,SPAR enjoy,Spar enjoy,http://www.wikidata.org/entity/Q610492,SPAR,,,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q124630677,SPAR enjoy,Spar enjoy,http://www.wikidata.org/entity/Q610492,SPAR,,,http://www.wikidata.org/entity/Q55,Netherlands
http://www.wikidata.org/entity/Q124630677,SPAR enjoy,Spar enjoy,http://www.wikidata.org/entity/Q610492,SPAR,,,http://www.wikidata.org/entity/Q40,Austria
http://www.wikidata.org/entity/Q124630677,SPAR enjoy,Spar enjoy,http://www.wikidata.org/entity/Q610492,SPAR,,,http://www.wikidata.org/entity/Q33,Finland
http://www.wikidata.org/entity/Q124630677,SPAR enjoy,Spar enjoy,http://www.wikidata.org/entity/Q610492,SPAR,,,http://www.wikidata.org/entity/Q31,Belgium
http://www.wikidata.org/entity/Q124670587,BASE FOOD,basefood,http://www.wikidata.org/entity/Q124670580,BASE FOOD,,,http://www.wikidata.org/entity/Q17,Japan
http://www.wikidata.org/entity/Q124989916,Samsung,Samsung brand,http://www.wikidata.org/entity/Q20716,Samsung Group,,,http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q124993733,Microsoft,Microsoft (brand)|Microsoft brand,http://www.wikidata.org/entity/Q2283,Microsoft,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q1846049,Tropicana Products,Tropicana,http://www.wikidata.org/entity/Q334800,PepsiCo,,,http://www.wikidata.org/entity/Q31,Belgium
http://www.wikidata.org/entity/Q1846049,Tropicana Products,Tropicana,http://www.wikidata.org/entity/Q334800,PepsiCo,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q1890539,Ivory,Ivory soap,http://www.wikidata.org/entity/Q212405,Procter & Gamble,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q1891883,Nerf,NERF,http://www.wikidata.org/entity/Q501476,Hasbro,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q1891883,Nerf,NERF,http://www.wikidata.org/entity/Q1501379,Parker Brothers,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q1920627,Lycra,Lycra spandex,http://www.wikidata.org/entity/Q221062,DuPont,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q1987067,Oral-B,Oral-B product|Oral-B product line,http://www.wikidata.org/entity/Q212405,Procter & Gamble,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q1993628,Nestea,NESTEA,http://www.wikidata.org/entity/Q160746,Nestlé,,,http://www.wikidata.org/entity/Q39,Switzerland
http://www.wikidata.org/entity/Q2024644,Tide,Ace|Tide Detergent,http://www.wikidata.org/entity/Q212405,Procter & Gamble,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q2027177,Pedigree Petfoods,Pedigree dog food,http://www.wikidata.org/entity/Q695087,"Mars, Incorporated",,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q2046939,Sensodyne,Sensodyne product|Sensodyne product line,http://www.wikidata.org/entity/Q212322,GSK,,,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q2156823,Freeview,Freeview Play|Freeview UK,http://www.wikidata.org/entity/Q95205900,DTV Services Ltd,,,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q2292505,Action Man,Action Man UK,http://www.wikidata.org/entity/Q501476,Hasbro,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q2324366,Aquafresh,Aqua-Fresh,http://www.wikidata.org/entity/Q212322,GSK,,,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q2325626,Old Spice,Old Spice product|Old Spice product line,http://www.wikidata.org/entity/Q212405,Procter & Gamble,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q2466959,AGV,AGV (helmet manufacturer)|Scuderia AGV,http://www.wikidata.org/entity/Q6060636,Investcorp,,,http://www.wikidata.org/entity/Q398,Bahrain
http://www.wikidata.org/entity/Q2493212,Veronica Superguide,Superguide|Veronica Magazine,http://www.wikidata.org/entity/Q63020424,DPG Media,,,http://www.wikidata.org/entity/Q55,Netherlands
http://www.wikidata.org/entity/Q2493212,Veronica Superguide,Superguide|Veronica Magazine,http://www.wikidata.org/entity/Q63020424,DPG Media,,,http://www.wikidata.org/entity/Q31,Belgium
http://www.wikidata.org/entity/Q1427345,Mercedes-Benz buses,Mercedes-Benz,http://www.wikidata.org/entity/Q1157624,Daimler Truck,,,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q1434941,Softsoap,Softsoap product|Softsoap product line,http://www.wikidata.org/entity/Q609466,Colgate-Palmolive Company,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q1440151,Royal Copenhagen,Den Kongelige Porcelænsfabrik|Königliche Dänische porzellanfabrik Kopenhagen|Royal Porcelain Factory,http://www.wikidata.org/entity/Q1241369,Fiskars,,,http://www.wikidata.org/entity/Q33,Finland
http://www.wikidata.org/entity/Q1476454,Harman Kardon,Harman/Kardon,http://www.wikidata.org/entity/Q20716,Samsung Group,,,http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q1477785,Poltrona Frau,Poltrona Frau s.p.a.,http://www.wikidata.org/entity/Q305249,Haworth,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q1501379,Parker Brothers,Parker Bros.,http://www.wikidata.org/entity/Q501476,Hasbro,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q1505649,Elf Aquitaine,Elf brand,http://www.wikidata.org/entity/Q154037,TotalEnergies,,,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q762100,Jouef,Jouef brand,http://www.wikidata.org/entity/Q164484,Hornby Hobbies Limited,,,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q775060,Texaco,Texas Oil Company|Texas Company,http://www.wikidata.org/entity/Q319642,Chevron Corporation,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q776616,PowerVR,Imagination Technologies PowerVR|IMG PowerVR,http://www.wikidata.org/entity/Q1119662,Imagination Technologies,,,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q781156,Austin Motor Company,The Austin Motor Company Limited,http://www.wikidata.org/entity/Q910401,SAIC Motor,,,http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q791930,Axe,Lynx,http://www.wikidata.org/entity/Q157062,Unilever,,,http://www.wikidata.org/entity/Q29999,Kingdom of the Netherlands
http://www.wikidata.org/entity/Q791930,Axe,Lynx,http://www.wikidata.org/entity/Q157062,Unilever,,,http://www.wikidata.org/entity/Q145,United Kingdom
